Region,Category,Year,Value,Year1,Value1,Year2,Value2,Year3,Value3,Year4,Value4,Year5,Value5,Year6,Value6,Year7,Value7,Year8,Value8,Year9,Value9
РЕСПУБЛИКА КАЗАХСТАН,сельская местность,2014,54156.0,2015,49842.0,2016,47030.0,2017,44529.0,2018,41833.0,2019,41274,2020,40063.0,2021,40841.0,2022,43020.0,2023,40842.0
РЕСПУБЛИКА КАЗАХСТАН,Всего,2014,159328.0,2015,148769.0,2016,141702.0,2017,141791.0,2018,137797.0,2019,139504,2020,128839.0,2021,140256.0,2022,128359.0,2023,120851.0
КОСТАНАЙСКАЯ ОБЛАСТЬ,Всего,2014,6591.0,2015,6418.0,2016,5628.0,2017,6010.0,2018,5682.0,2019,5524,2020,4749.0,2021,5371.0,2022,5353.0,2023,4964.0
КАРАГАНДИНСКАЯ ОБЛАСТЬ,Всего,2014,12344.0,2015,11481.0,2016,10748.0,2017,10973.0,2018,10813.0,2019,10355,2020,9401.0,2021,9891.0,2022,7876.0,2023,7511.0
АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2014,5917.0,2015,5465.0,2016,4870.0,2017,5226.0,2018,4780.0,2019,4772,2020,4289.0,2021,4684.0,2022,4800.0,2023,4450.0
КАРАГАНДИНСКАЯ ОБЛАСТЬ,городская местность,2014,11189.0,2015,10398.0,2016,9758.0,2017,10012.0,2018,9912.0,2019,9539,2020,8631.0,2021,9131.0,2022,6732.0,2023,6509.0
КОСТАНАЙСКАЯ ОБЛАСТЬ,городская местность,2014,4075.0,2015,4047.0,2016,3605.0,2017,3878.0,2018,3731.0,2019,3800,2020,3213.0,2021,3765.0,2022,3755.0,2023,3421.0
ПАВЛОДАРСКАЯ ОБЛАСТЬ,Всего,2014,6508.0,2015,6125.0,2016,5173.0,2017,5646.0,2018,5369.0,2019,5235,2020,4870.0,2021,5197.0,2022,4703.0,2023,4435.0
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Всего,2014,12269.0,2015,11167.0,2016,10241.0,2017,10121.0,2018,9421.0,2019,9290,2020,8570.0,2021,9262.0,2022,4632.0,2023,4571.0
АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2014,2064.0,2015,2059.0,2016,1753.0,2017,1856.0,2018,1598.0,2019,1673,2020,1417.0,2021,1501.0,2022,1848.0,2023,1722.0
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Всего,2014,4480.0,2015,4144.0,2016,3566.0,2017,3830.0,2018,3605.0,2019,3446,2020,2932.0,2021,3515.0,2022,3514.0,2023,3121.0
КОСТАНАЙСКАЯ ОБЛАСТЬ,сельская местность,2014,2516.0,2015,2371.0,2016,2023.0,2017,2132.0,2018,1951.0,2019,1724,2020,1536.0,2021,1606.0,2022,1598.0,2023,1543.0
